Column1,name,Random Forest,Logistic Regression,SVM,NN,Random Forest std,Logistic Regression std,SVM std,NN std,min std=rf,max,2 feat max
181,"SCC, diam, eigenvector centralization",60.08%,41.11%,62.75%,44.90%,0.00428524,0.033650374,0.00709313,0.10424288,0.6008125,0.6275,0
182,"SCC, diam, effective graph resistence",62.74%,40.15%,46.44%,55.84%,0.009966546,0.021789476,0.01287864,0.053372402,0.6274375,0.6274375,0
367,"closeness centralization, betweeness centralization, eigenvector centralization",62.58%,47.06%,53.70%,48.39%,0.012086278,0.01506237,0.011483004,0.034496433,0,0.62575,0
261,"r, diam, betweeness centralization",59.73%,55.21%,62.26%,62.46%,0.006938345,0.018337227,0.011431863,0.010297148,0.59725,0.624625,0
289,"r, betweeness centralization, spectral radius",62.44%,56.10%,62.29%,57.41%,0.008006101,0.008826452,0.00884789,0.114751838,0.6244375,0.6244375,0
206,"SCC, betweeness centralization, eigenvector centralization",62.43%,35.08%,61.88%,49.38%,0.009725932,0.015413696,0.009658222,0.042616064,0,0.62425,0
179,"SCC, diam, closeness centralization",62.18%,46.06%,55.56%,46.40%,0.010900115,0.015907447,0.012507654,0.018988483,0.62175,0.62175,0
176,"SCC, diam, den",62.15%,31.82%,40.93%,54.71%,0.013419901,0.02220721,0.019165093,0.051494121,0.6215,0.6215,0
212,"APL, r, diam",58.57%,52.53%,61.69%,51.93%,0.007626281,0.017958829,0.012364895,0.057936388,0.5856875,0.616875,0
158,"SCC, APL, diam",61.48%,29.11%,58.61%,54.49%,0.007831477,0.023456742,0.010928746,0.009629058,0.6148125,0.6148125,0
178,"SCC, diam, degree centralization",60.78%,45.33%,56.98%,45.86%,0.007375265,0.014729461,0.009121789,0.018764161,0.6078125,0.6078125,0
264,"r, diam, spectral radius",58.84%,55.14%,60.78%,59.49%,0.008363098,0.018172459,0.009791777,0.01470398,0.5884375,0.6078125,0
159,"SCC, APL, den",60.68%,30.29%,36.28%,57.53%,0.006967839,0.029441481,0.019097304,0.014676858,0.6068125,0.6068125,0
256,"APL, effective graph resistence, spectral radius",60.10%,33.91%,44.23%,51.78%,0.010406578,0.027629242,0.015441548,0.118419029,0.601,0.601,0
365,"degree centralization, eigenvector centralization, spectral radius",59.75%,48.22%,53.04%,45.20%,0.013572721,0.010395499,0.010662434,0.075699756,0,0.5975,0
177,"SCC, diam, edge connectivity",59.58%,40.99%,52.41%,39.67%,0.006109675,0.018518994,0.005356071,0.071168292,0,0.59575,0
194,"SCC, edge connectivity, eigenvector centralization",59.53%,39.14%,52.95%,47.51%,0.008971308,0.015719837,0.013456527,0.031414318,0.59525,0.59525,0
341,"den, effective graph resistence, spectral radius",59.51%,35.88%,57.42%,55.65%,0.012391561,0.008707262,0.014167111,0.046212147,0,0.5950625,0
193,"SCC, edge connectivity, betweeness centralization",59.38%,38.91%,44.94%,42.94%,0.009802742,0.022430796,0.0170625,0.010439558,0.59375,0.59375,0
257,"r, diam, den",58.58%,54.83%,59.38%,53.96%,0.014771832,0.012974735,0.009976535,0.02092621,0,0.59375,0
335,"den, closeness centralization, spectral radius",58.96%,46.94%,50.30%,50.59%,0.012164401,0.015432438,0.011972625,0.018698262,0,0.5895625,0
371,"closeness centralization, eigenvector centralization, spectral radius",58.94%,48.76%,51.99%,51.91%,0.009866294,0.011818286,0.009721915,0.014690026,0,0.589375,0
338,"den, betweeness centralization, spectral radius",58.93%,33.11%,38.49%,41.90%,0.009007159,0.02123906,0.014324504,0.149239269,0.5893125,0.5893125,0
